scenario,tps_target,report,round,avg,p95,p99,throughput,succ,fail
W1,5,src/reports/W1/report_5TPS_20260115_054313.html,W1_RegisterAsset,2.53,,,3.9,50.0,0.0
W1,5,src/reports/W1/report_5TPS_20260131_183632.html,W1_RegisterAsset,2.39,,,3.9,50.0,0.0
W1,10,src/reports/W1/report_10TPS_20260115_054341.html,W1_RegisterAsset,3.96,,,4.5,50.0,0.0
W1,10,src/reports/W1/report_10TPS_20260131_183700.html,W1_RegisterAsset,3.85,,,4.5,50.0,0.0
W1,15,src/reports/W1/report_15TPS_20260115_054409.html,W1_RegisterAsset,4.92,,,4.4,50.0,0.0
W1,15,src/reports/W1/report_15TPS_20260131_183728.html,W1_RegisterAsset,4.86,,,4.5,50.0,0.0
W1,20,src/reports/W1/report_20TPS_20260115_054437.html,W1_RegisterAsset,5.37,,,4.4,50.0,0.0
W1,25,src/reports/W1/report_25TPS_20260115_054505.html,W1_RegisterAsset,5.61,,,4.4,50.0,0.0
W1,30,src/reports/W1/report_30TPS_20260115_054533.html,W1_RegisterAsset,5.96,,,4.3,50.0,0.0
W1,35,src/reports/W1/report_35TPS_20260115_054601.html,W1_RegisterAsset,6.02,,,4.4,50.0,0.0
W1,40,src/reports/W1/report_40TPS_20260115_054629.html,W1_RegisterAsset,6.06,,,4.4,50.0,0.0
W2,5,src/reports/W2/report_5TPS_20260131_184012.html,W2_HireAsset,2.26,,,4.6,50.0,0.0
W2,10,src/reports/W2/report_10TPS_20260131_184040.html,W2_HireAsset,2.29,,,7.6,50.0,0.0
W2,15,src/reports/W2/report_15TPS_20260131_184104.html,W2_HireAsset,,,,7.2,0.0,50.0
W2,20,src/reports/W2/report_20TPS_20260131_184316.html,W2_HireAsset,,,,10.3,0.0,50.0
W2,25,src/reports/W2/report_25TPS_20260131_184336.html,W2_HireAsset,,,,15.9,0.0,50.0
W2,30,src/reports/W2/report_30TPS_20260131_184356.html,W2_HireAsset,,,,14.7,0.0,50.0
W2,35,src/reports/W2/report_35TPS_20260131_185432.html,W2_HireAsset,,,,11.7,0.0,50.0
W2,40,src/reports/W2/report_40TPS_20260131_185452.html,W2_HireAsset,,,,16.5,0.0,50.0
W3,5,src/reports/W3/report_5TPS_20260115_075629.html,W3_PayAsset,1.91,,,3.7,50.0,0.0
W3,5,src/reports/W3/report_5TPS_20260131_184900.html,W3_PayAsset,,,,4.7,0.0,50.0
